Title,Size(m2),#Room,Price(TL),Date,District, Neigborhood, Address,Page Number
ORTAKÖY ULUS ARASI 1+1 TASARIM DAİRE,85,1+1,33000,15-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,16
"LEVAZIM BİRKENT SİTESİNDE AYDINLIK, BAKIMLI KİRALIK 2+1",105,2+1,29000,15-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,16
METE'den TEK YETKİLİ!Ulus 2006 Yapımı Sitede Lüks Eşyalı Kiralık,211,3+1,150000,16-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,16
APARTİST 78 DE YENİ BİNADA 1+1 EŞYALI KİRALIK DAİRE,60,1+1,23000,17-07-2023,Levent,NA,Levent,16
PV BROKERS ULUS SAVOY KİRALIK BAHCE DUBLEKSİ,255,4.5+1,320000,16-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,16
"Parkmaya da, Onu Acik Ferah Kupon Daire !!!!!",210,4+1,78000,15-07-2023,Etiler,NA,Etiler,16
Beşiktaş Bahçesehir Üniv. Çırağan Kiralik Eşyalı 1+1 yeni bina,80,1+1,30000,15-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,16
"AYCAN,DAN ARNAVUTKÖY'DE FULL BOĞAZ MANZARALI TERASLI DUBLEX",120,2+1,50000,15-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,17
BEŞİKTAŞ G.TEPE 1 DEN 20 YE KADAR FULL EŞYALI 1+1-2+1 DAİRELER,78,1+1,25250,16-07-2023,Gayrettepe,NA,Gayrettepe,17
TURYAP MELTEM'DEN ETİLER ÇAMLIKTA KONUM AVANTAJLI EŞYALI DAİRE,90,1+1,32000,15-07-2023,Etiler,NA,Etiler,17
ULUS THY SİTESİ BOŞ VE TAŞINMAYA HAZIR 2 BANYOLU 3+1,125,3+1,40000,15-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,17
BARBAROS BULVAR ÜZERİNDE ASANSÖRLÜ OTOPARKLI 90 m2 2+1,95,2+1,20000,15-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,17
İDARECİLER SİTESİNDE ÖZEL OTOPARKLI FERAH DAİRE...,160,3+1,30000,15-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,17
Ali Obuz'dan Etilerde Yeni Binada Yeşillikler İçinde,115,2+1,70000,17-07-2023,Etiler,NA,Etiler,17
GUSTO'dan Kuruçeşme Parkı Karşısı 4 + 1 Manzaralı Daire,230,4+1,120000,15-07-2023,Arnavutköy,Kuruçeşme Mh.,Arnavutköy Kuruçeşme Mh.,17
YENİ BİNA (SIFIR BİNA )2+1 KAT 3 ASANSÖRLÜ,90,2+1,30000,15-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,17
BEŞİKTAŞ LEVAZIM SİTESİ'NDE 3+1 BALKONLU KİRALIK DAİRE,152,3+1,32000,15-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,17
ÖNCÜ GRUPTAN BEŞİKTAŞ'DA 2+1 KİRALİK DAİRE,90,2+1,30000,15-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,17
,,,NA,2023-07-20,,NA,,17
BEŞİKTAŞ MERKEZDE ARA KAT BAKIMLI 2+1 KİRALIK DAİRE,100,2+1,20000,15-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,17
BEBEK EMLAK'TAN ETİLER'DE MÜKEMMEL BİR BAHÇE KATI ...,170,1+1,46000,15-07-2023,Etiler,NA,Etiler,17
REDSTONE İCG | Beşiktaş'ta 1+1 50 m2 Kiralık Daire (Eşyasız),55,1+1,15000,19-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,17
Ulus Sol da Yeşillikler İçinde Muhteşem Manzaralı Bahçeli Dublex,260,4+1,260000,16-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,17
"baylasimli 1+0, söğüt daire",45,Stüdyo (1+0),3000,19-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,17
"CEYLAN EMLAK'TAN GÖKNAR SOKAKTA,ÇİFT CEPHELİ,GÜN­EŞİ,YEŞİLİ BOL",90,2+1,13000,17-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,17
METE'den Ortaköy Sırtta 5 Yıllık Binada 1+1 Bahçeli Eşyalı Daire,62,1+1,26500,17-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,17
ORTAKÖY MERKEZ GSÜ YAKIN FATURALAR DAHİL EŞYALI DAİRE ODA,155,4+1,5500,15-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,17
BEŞİKTAŞTA SIFIR BİNA MASRAFSIZ EŞYALI HERŞEY DAHİL ODALAR,100,3+1,6500,15-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,17
"CEYLAN EMLAK'TAN GÖKNAR SOKAKTA,ÇİFT CEPHELİ,GÜN­EŞİ,YEŞİLİ BOL",90,2+1,13000,17-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,18
METE'den Ortaköy Sırtta 5 Yıllık Binada 1+1 Bahçeli Eşyalı Daire,62,1+1,26500,17-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,18
ORTAKÖY MERKEZ GSÜ YAKIN FATURALAR DAHİL EŞYALI DAİRE ODA,155,4+1,5500,15-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,18
BEŞİKTAŞTA SIFIR BİNA MASRAFSIZ EŞYALI HERŞEY DAHİL ODALAR,100,3+1,6500,15-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,18
"FUL EŞYALI DAİRE ABBASAĞA PARKI, ŞEHİR VE DENİZ MANZARALI",85,2+1,22000,16-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,18
"ULUS SAVOY KİRALIK 3+1, TEK YETKİLİ",160,3.5+1,125000,15-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,18
"GÜRAY'dan GAYRETTEPE MERKEZ'de TADİLATLI TEMİZ 4+1,160 m2 KONUT",180,4+1,35000,15-07-2023,Gayrettepe,NA,Gayrettepe,18
2.ULUS SİTEDE MERKEZİ AKMERKEZE KOMŞU İÇİ YENİ FUL YAPILMIŞ,130,3+1,43000,15-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,18
"Ulus Topbay Sitesinde 4+1, 240 m2 Boğaz Manzaralı Möbleli Tarz",240,4+1,140000,15-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,18
SIFIR BİNA/ KANYON AVM TAM ARKASI 2+1/FATURA DAHİL,110,2+1,50000,15-07-2023,Levent,NA,Levent,18
Beşiktaş Ulus çok bakımlı teraslı 4+1kiralık daire,175,4+1,55000,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,18
ULUS ORTAKÖY ARASI PORTAKAL YOKUŞUNDA 1+1 DENİZ MANZARALI,85,1+1,40000,15-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,18
"1.Levent Beşiktaş Belediye Arkası 4+1, Vadi Manzaralı Daire",200,4+1,51000,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,18
METE'den TEK YETKİLİ!Ulus Havuzlu Sitede Geniş Teraslı Çatı Dub.,278,4+1,80000,16-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,18
Sahibinden kiralık 4+2 Otoparklı,240,4+1,62500,14-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,18
KİRALIK 1+1 FULL YENİ EŞYALI MERKEZİ KONUM BOŞ HAZIR,80,1+1,15500,14-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,18
ETİLER EVİM ST. 1. KATTA ÖNÜ AÇIK OTOPARKLI,1.110,2+1,24500,14-07-2023,Etiler,NA,Etiler,18
PV BROKERS ULUS SAVOY COK KEYIFLI DEKORASYONLU ARAKAT DAIRE,165,3.5+1,143000,16-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,18
BEŞİKTAŞ DİKİLİTAŞ TA GENÇ BİNADA OTOPARKLI LÜX EŞYALI 4+1,220,4+1,50000,14-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,18
Bebek Bakımlı 2+1 Sahile Yürüme,100,2+1,30000,14-07-2023,Bebek,NA,Bebek,18
Ulus Platin Sitesinde Manzaralı Bakımlı Kiralık Daire ..,210,4+1,140000,14-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,19
BEŞİKTAŞTA KİRALIK YILDIZ VE BAHÇEŞEHİR ÜNİ.ÇOK YAKIN EŞYALI,100,2+1,30000,14-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,19
Beşiktaş Türkali'de Güncel Eşyalı 3+1 Kiralık Daire,120,3+1,29000,14-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,19
NİSBETİYE DENİZ SİTESİ 6-12 AY KİRALAMAYA UYGUN EŞYALI 2+1 DAİRE,144,2+1,56650,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,19
ABBASAĞA YAKINI MANZARALI FERAH,85,2+1,17500,15-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,19
"ETİLER NİSBETİYE MAH'DE KİRALIK 4+1 DUBLEXS DAİRE,YENİ BİNA!!!",170,4+1,55000,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,19
GÜNCEL LEVENT PEKER SOKAK 2+1FERAH AYDINLIK EŞYALI KİRALIK DAİRE,125,2+1,28000,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,19
"ETİLER PETROL SİTESİ, KİRALIK 3+1 EŞYALI DAİRE",84,3+1,32500,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,19
"BOŞ!ORTAKÖY'DE KOMPLE YENİLENMİŞ, 4+1 BAKIMLI İŞ YERİ VEYA KONUT",220,4+1,90000,14-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,19
ABN 'den Etiler Bebek Üstü Kiralık Otoparklı Ferah 3+1 Daire,155,3+1,60000,14-07-2023,Etiler,NA,Etiler,19
ÖĞRENCİYE UYGUN LEVENTE YAKIN EŞYALI DAİRE,80,1+1,12000,14-07-2023,Levent,NA,Levent,19
Etiler Sarı Konaklarda 300m2 Bakımlı Kiralık Çatı Dubleks Daire,300,4+1,140000,14-07-2023,Etiler,NA,Etiler,19
"GAYRETTEPE'DE MÜSTAKİL GİRİŞLİ,BAHÇELİ İÇİ YENİLENMİŞ 1+1 EŞYALI",80,1+1,25000,16-07-2023,Gayrettepe,NA,Gayrettepe,19
Gusto' dan Ulus' ta 330 m2 Boğaz Manzaralı Tripleks,330,5+1,260000,14-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,19
ABBASAĞADA PANORAMİK ŞEHİR VE KISMI DENİZ MANAZARALI 3+1 ASANSÖR,130,3+1,26000,14-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,19
,,,NA,2023-07-20,,NA,,19
ALL INCLUSIVE APARTMENTS FOR RENTAL IN ISTANBUL NO COMISSION,94,2+1,32750,16-07-2023,Gayrettepe,NA,Gayrettepe,19
KW PLATİN'DEN ARNAVUTKÖY'DE KISMİ BOĞAZ MANZARALI 2+1 KİRALIK,90,2+1,33000,14-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,19
Ulus THY sitesinde yeşil manzaralı 3+1,130,3+1,40000,14-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,19
Sahibinden faturalar dahil mutfak banyo tuvaletli oda,33,Stüdyo (1+0),5000,14-07-2023,Gayrettepe,NA,Gayrettepe,19
AKMERKEZİN DİBİNDE!!AZ KATLI BUTİK BİNADA!!,178,3.5+1,51900,14-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,19
"Dikilitaş Çarşı Merkezinde, 1+1 EŞYALI, Kombili, Yüksek Giriş",75,1+1,15000,15-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,20
Barbaros Bulvarı Üzerinde 7/24 Güvenlikli Geniş Daire,240,4+1,42500,14-07-2023,Gayrettepe,NA,Gayrettepe,20
Etiler Nispetiye de Kiralık Eşyalı Daire,90,2+1,40000,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,20
"METE'dn Zorlu Yakını,Aydın Sitesi,Balkonlu 3+1 Kiralık Arakat",164,3+1,50000,16-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,20
ORTAKÖY ULUS ARASI MODERN EŞYALI 1+1 KİRALIK RESİDENCE DAİRE,76,1+1,33000,14-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,20
ETİLER MaaNaa 45'te Kiralık Bahçe Katı,122,2+1,70000,15-07-2023,Etiler,NA,Etiler,20
Emlak Elçisin'den Full Eşyalı Güvenlikli Binada Kiralık Daire,55,Stüdyo (1+0),10000,16-07-2023,Abbasağa,Cihannüma Mh.,Abbasağa Cihannüma Mh.,20
ULUS SAVOY'DA ÖNÜ AÇIK KİRALIK 160M2 3+1 ARAKAT DAİRE,160,3+1,130000,15-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,20
YENİ BİNA 2+1 SAHİLE 5 DAKİKA,85,2+1,23000,15-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,20
Gayrettepe iyi konumda kiralık temiz 3+1,200,3+1,40000,14-07-2023,Gayrettepe,NA,Gayrettepe,20
"BEBEK'DE MANZARALI&BALKONL­U,SIFIR-120M2,3+1 ŞIK& BUTİK DAİRE",120,2+1,40000,14-07-2023,Bebek,NA,Bebek,20
2.ULUS DA AKMERKEZE 200M 3+1 120M2 FUL ESYALI DAİRE,120,3+1,45000,14-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,20
Arnavutköy'de Kiralık 1+1 Sahile Yakın Daire,90,1+1,35000,14-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,20
BEBEK'TE 6-12 AY KİRALAMAYA UYGUN EŞYALI 1+1 DAİRE,72,1+1,37450,14-07-2023,Bebek,NA,Bebek,20
ÇİFTÇİ TOWERS'da B TİPİ 251m2 MUHTEŞEM 3+1 KİRALIK DAİRE,251,3+1,110000,16-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,20
ORTAKÖY BEŞİKTAŞ İSTANBUL GENİŞ KİRALIK 3+1 DAİRE,130,3+1,20000,15-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,20
ULUS TURİZM SİTESİNDE İÇİ BOŞ MASRAFSIZ 3+1 DAİRE,130,3+1,35000,14-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,20
Ali Obuz'dan Levazım Zorlu Center Yakını Bakımlı Manzaralı Daire,140,3+1,28000,14-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,20
Atlas'dan Bebeköy Backyard Karşısı Mimari Tasarımlı Full Eşyalı,130,3+1,70000,14-07-2023,Etiler,NA,Etiler,20
"LEVAZIM SİTESİ 2+1 BAKIMLI BEYAZ EŞYALI, MOBİLYALI DUBLEKS DAİRE",60,2+1,25000,14-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,20
BEŞİKTAŞ MERKEZDE 1+1+HOL GENİŞ DAİRE,65,1+1,13000,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,21
KOMİSYONSUZ MASRAFSIZ EŞYALI FATURALAR TEMİZLİK DAHİL ODALAR,155,4+1,4500,15-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,21
"ETİLER DE GENİŞ TERASLI, MODERN MİMARİ KATTA TEK DAİRE",300,2+1,160000,17-07-2023,Etiler,NA,Etiler,21
BEŞİKTAŞ ÇIRAĞAN'DA RENOVE EDİLMİŞ 3+1 KİRALIK DAİRE,120,3+1,72000,14-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,21
"ULUS SAVOY KİRALIK 3,5+1 DAİRE TEK YETKİLİ, EŞYALI/EŞYASIZ",160,3.5+1,156000,15-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,21
ORTAKÖY KİRALIK/SAH İLE-CADDEYE YAKIN-DÜZ AYAK 90M2/2+1/TEMİZ,95,2+1,15000,14-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,21
"BEŞİKTAŞ IHLAMURDERE CADDESİNDE, YENİLENMİŞ, 2+1,BALKONLU,EŞYALI",95,2+1,30000,14-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,21
ULUS'TA NEZİH SOKAKTA YENİ BİNADA BOGAZ MANZARALI PENTHOUSE,85,1.5+1,60000,15-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,21
"BEŞİKTAŞ BEBEK'TE BOĞAZ MANZARALI, OTOPARKLI KİRALIK 3+1 DAİRE",120,3+1,35000,13-07-2023,Bebek,NA,Bebek,21
ETİLER MAC BEBEKÖY KARŞISINDA BOĞAZ MANZARALI EŞYALI KİRALIK,140,3+1,150000,13-07-2023,Bebek,NA,Bebek,21
Akmerkez Shopping Mall Across LUXURY FULLY FURNISHED 4+1,260,4+1,200000,13-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,21
levent kiralık/LEVENT ENGİN ST. İYİ KONUMLU-BALKONLU /2 BANYOLU,165,3+1,38000,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,21
FDN'DEN BEŞİKTAŞTA KİRALIK EŞYALI DAİRE,90,1+1,30000,13-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,21
METEHAN SOKAKTA TAŞINMAYA HAZIR TERASLI ÇATI DUBLEKSİ,240,4.5+1,57500,13-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,21
2 ulus güzel konutlar sitesinde bakimli daire,100,3+1,34000,15-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,21
Modern - furnished flat at Levent | Defterdarlar sitesi,150,3+1,30000,13-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,21
IHLAMURDERE CADDESİ 5. SON KAT 3+1 EŞYALI KİRALIK DAİRE,120,3+1,25000,14-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,21
TÜRKSAN SİTESİNDE MANZARALI 6-12 AY KİRALAMAYA UYGUN EŞYALI 4+1,175,4+1,80450,14-07-2023,Etiler,NA,Etiler,21
AKMERKEZ LEVENT METRO YÜRÜME 4 KATLI 3+1KOMBİLİ BALKON KİRALIK,120,3+1,26000,13-07-2023,Levent,NA,Levent,21
Etiler Sarıkonaklar 150m2 2+1 iyi konumda kiralık,150,2+1,90000,14-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,21
ETİLER'DE BUTİK SİTE İÇERİSİNDE KİRALIK DAİRE -ENG,170,4+1,78000,14-07-2023,Etiler,NA,Etiler,22
BOĞAZ MANZARALI ÇİFT TERASLI 4+1 DUBLEX EŞYALI EŞYASIZ KİRALIK,130,4+1,30000,13-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,22
"CADDEYE,SAHİLE YAKIN ,FULL EŞYALI 1+1+HOL 70M2+20M2 BAHÇELİ",70,1+1,17500,13-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,22
,,,NA,2023-07-20,,NA,,22
BEŞİKTAŞ GAYRETTEPEDE 1+1 KİRALIK ULTRA LÜX FULL EŞYALI KAÇMAZ,80,1+1,35000,13-07-2023,Gayrettepe,NA,Gayrettepe,22
BEBEK SAHİLE 5 ADIM MESAFE DE MANZARALI TERASLI OFİSE UYGUN,160,2+1,45000,16-07-2023,Bebek,NA,Bebek,22
ZORLU YANI LEVAZIM SİTESİ 4. KAT 3+1 MANZARALI 3 BALKONLU DAİRE,140,3+1,34000,13-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,22
"FULL EŞYALI,ABONELİKLER AÇIK STÜDYO DAİRE.AVAİLABLE FOR STUDENTS",35,Stüdyo (1+0),10000,13-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,22
ABBASAĞAYA YAKIN ARA KATTA KOMBİLİ FERAH,70,1.5+1,17000,13-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,22
KAYA AŞ 1.LEVENT MERKEZDE 2+1 100 M2 TAŞINMAYA HAZIR TEMİZ DAİRE,100,2+1,28000,13-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,22
"Zorlu Yakını, Bakımlı, Önü Açık 3+1, Ebeveyn Banyolu Kiralık",180,3+1,45000,13-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,22
"Robert Kolejine Komşu,Güzel Konutlar Sitesinde Mobilyalı Dubleks",125,2+1,35000,13-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,22
HERŞEY DAHİL EŞYALI UZUN VE KISA DÖNEM KİRALAMA 2+1 DAİRE,92,2+1,34900,16-07-2023,Gayrettepe,NA,Gayrettepe,22
Ulus Naile Sultan'da Güncel Kiralık Manzaralı Bahçe Dubleks,330,4+1,260000,13-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,22
Beşiktaş Ortaköy 1+1 Ara Kat Kiralık Eşyalı Daire,80,1+1,25000,13-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,22
BJK AKSU EMLAK ABBASAGA'DA EŞYALI TEMİZ 2+1...,80,2+1,20000,13-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,22
'ATMACA' BEŞİKTAŞ NÜZHETİYE DE EŞYALI KİRALIK 1+1 DAİRE,75,1+1,17500,13-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,22
GÜZEL KONUTLAR SİTESİNDE 2+1 DUBLEKS EŞYALI KİRALIK DAİRE,125,2+1,40000,13-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,22
MUHTEŞEM BOĞAZ VE KORU MANZARALI ULTRALUKS ARAKAT DAİRE,200,2+1,140000,13-07-2023,Etiler,NA,Etiler,22
BEŞİKTAŞ TA 3 ODA 1 SALON TEMİZ MASRAFSIZ ÇİFT CEPHELİ,140,3+1,30000,13-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,22
R-ONE Beşiktaş Maçka Prestijli Bina Manzaralı Kiralık Daire-Eng,180,2+1,170000,13-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,22
R-ONE Beşiktaş Maçka Prestijli Bina Manzaralı Kiralık Daire-Eng,180,2+1,170000,13-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,23
BEŞİKTAŞ MERKEZDE 2+1 KOMBİLİ BALKONLU TEMİZ FERAH DAİRE,90,2+1,18000,14-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,23
Etiler'de metroya yürüme mesafesinde kiralık 3+1 daire,120,3+1,37000,13-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,23
ETİTEK SİTESİNDE 3+1 GENİŞ FERAH KİRALIK DAİRE,145,3+1,42000,13-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,23
"ARNAVUTKÖY'DE FULL EŞYALI, BAHÇELİ- SIFIR ŞIK & BUTİK DAİRE",80,1+1,25000,13-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,23
Maçka Armani Residence 400m2 Kiralık Ultralux 4+1 Daire Güncel,400,4+1,260000,13-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,23
GÜVEN'DEN METRO'YA ÇOK YAKIN ARAKAT TERTEMİZ 2+1 EŞYALI DAİRE..,90,2+1,24000,14-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,23
ULUS SOL FUL YENİLENMİŞ 2+1 MANZARALI,160,2+1,52000,13-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,23
"Etiler Boğaziçi Üni yakını 185 m2,4+1 Teraslı,Boğaz manzaralı",185,4+1,43000,13-07-2023,Etiler,NA,Etiler,23
Gayrettepede Düz Ayak Full Eşyalı Geniş Kiralık Daire,160,3.5+1,36000,13-07-2023,Gayrettepe,NA,Gayrettepe,23
AKATLAR GAZETECİLERDE AYDINLIK FERAH DAİRE,130,3+1,25000,14-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,23
"FROM AHMET PAÇA IN A PRESTIGIOUS, FULL ACTIVITY, SITE WITH POOL,",230,4+1,100000,14-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,23
LEVENT METRO YAKINI CADDE ÜZERİ BAKIMLI GENİŞ 3+1 DAİRE,150,3+1,34000,13-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,23
YB GM'den Çamlıtepe Sitesi'nde Deniz Manzaralı Kiralık Ara Kat,220,4+1,130000,13-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,23
"Sağlam Sitesinde Güvenlikli, Kapalı Garajlı Geniş Daire",375,6+2,105000,13-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,23
NİSBETİYE'DE 6-12 AY KİRALAMAYA UYGUN EŞYALI 3+1 DAİRE,132,3+1,45450,14-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,23
,,,NA,2023-07-20,,NA,,23
BEŞİKTAŞ BARBAROS BULVARINDA KİRALIK 5+1 DAİRE,180,3+1,39500,13-07-2023,Gayrettepe,NA,Gayrettepe,23
First Plan'den Ortaköy Portakal Yokuşunda 90m2 2+1 Dubleks Daire,95,2+1,20000,13-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,23
BEŞİKTAŞ'da FULL YENİ EŞYALI TERTEMİZ 2+1,95,2+1,30000,13-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,23
ULUS TURİZM SİTESİNDE KİRALIK BAKIMLI 3+1 ARA KAT DAİRE,120,3+1,30000,13-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,23
ULUS TURİZM SİTESİNDE KİRALIK BAKIMLI 3+1 ARA KAT DAİRE,120,3+1,30000,13-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,24
sahibinden bütün faturalar dahil eşyalı temiz nezih güvenli,20,Stüdyo (1+0),9300,13-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,24
levazımda sitede büyük m2 arıyanlara ideal 5+1 ferah daire,240,5+1,60000,13-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,24
WHITE GAYRİMENKULDEN SİTEDE NEZİH KİRALIK 2+1,125,2+1,40000,12-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,24
WHITE GAYRİMENKUL DEN TEMİZ EŞYALI 1+1 DAİRE,55,1+1,20000,12-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,24
